checklist_id,observer_id,sampling_event_identifier,scientific_name,observation_count,state_code,locality_id,latitude,longitude,protocol_type,all_species_reported,observation_date,year,day_of_year,time_observations_started,duration_minutes,effort_distance_km,number_observers,species_observed
S6990692,obsr18573,S6990692,Cardinalis cardinalis,1,US-IL,L142726,42.2249451,-88.5771561,Stationary,TRUE,2010-06-17,2010,168,7,5,0,2,TRUE
S11818068,obsr97529,S11818068,Cardinalis cardinalis,1,US-IL,L857553,41.6995796,-87.9931097,Stationary,TRUE,2010-06-25,2010,176,6,5,0,1,TRUE
S9017575,obsr16073,S9017575,Cardinalis cardinalis,1,US-IL,L168950,42.09917,-87.81863,Stationary,TRUE,2010-06-10,2010,161,8.333333333333334,5,0,1,TRUE
S6685624,obsr226512,S6685624,Cardinalis cardinalis,,US-IL,L966177,41.7834731,-88.441143,Stationary,TRUE,2010-06-15,2010,166,5.083333333333333,120,0,1,FALSE
S11753308,obsr326314,S11753308,Cardinalis cardinalis,2,US-IL,L1772858,42.3101833,-87.9425994,Stationary,TRUE,2010-06-22,2010,173,8,10,0,1,TRUE
S11752954,obsr326314,S11752954,Cardinalis cardinalis,2,US-IL,L1772846,42.2836465,-88.099954,Stationary,TRUE,2010-06-09,2010,160,8,10,0,1,TRUE
S6676628,obsr17624,S6676628,Cardinalis cardinalis,1,US-IL,L964325,42.00852,-88.15515,Stationary,TRUE,2010-06-12,2010,163,8.283333333333333,5,0,2,TRUE
S6587974,obsr193344,S6587974,Cardinalis cardinalis,2,US-IL,L926658,41.9622345,-88.0748177,Traveling,TRUE,2010-06-29,2010,180,8.75,10,0.322,1,TRUE
S6522570,obsr34033,S6522570,Cardinalis cardinalis,3,US-IL,L152740,41.7857131,-87.5829649,Traveling,TRUE,2010-06-09,2010,160,12.083333333333334,95,1.609,1,TRUE
S11817509,obsr97529,S11817509,Cardinalis cardinalis,1,US-IL,L857534,41.7671718,-88.0854873,Stationary,TRUE,2010-06-08,2010,159,6.966666666666667,5,0,1,TRUE
S11817732,obsr97529,S11817732,Cardinalis cardinalis,3,US-IL,L862778,41.7270852,-88.0091679,Stationary,TRUE,2010-06-08,2010,159,6,5,0,1,TRUE
S9025470,obsr146134,S9025470,Cardinalis cardinalis,2,US-IL,L565379,41.9237376,-88.3462045,Stationary,TRUE,2010-06-27,2010,178,6.016666666666667,5,0,2,TRUE
S6526828,obsr16428,S6526828,Cardinalis cardinalis,1,US-IL,L125184,42.3745,-88.0339,Stationary,TRUE,2010-06-10,2010,161,6.916666666666667,5,0,1,TRUE
S6724105,obsr184235,S6724105,Cardinalis cardinalis,,US-IL,L3176152,42.3988557,-88.1265146,Traveling,TRUE,2010-06-03,2010,154,14,90,4.023,1,FALSE
S6572828,obsr183132,S6572828,Cardinalis cardinalis,1,US-IL,L746855,39.0349321,-89.7569543,Stationary,TRUE,2010-06-20,2010,171,15,70,0,1,TRUE
S6729858,obsr34033,S6729858,Cardinalis cardinalis,4,US-IL,L454170,41.8765232,-87.6189333,Traveling,TRUE,2010-06-02,2010,153,11.666666666666666,125,2.414,1,TRUE
S11753020,obsr326314,S11753020,Cardinalis cardinalis,2,US-IL,L1772867,42.3217045,-88.134027,Stationary,TRUE,2010-06-18,2010,169,8,10,0,1,TRUE
S6578299,obsr1151,S6578299,Cardinalis cardinalis,1,US-IL,L268077,42.07697,-88.10793,Traveling,TRUE,2010-06-25,2010,176,12.5,45,0.644,1,TRUE
S6611278,obsr151447,S6611278,Cardinalis cardinalis,2,US-IL,L737368,42.149052,-87.909061,Stationary,TRUE,2010-06-30,2010,181,8.283333333333333,5,0,2,TRUE
S6551785,obsr106714,S6551785,Cardinalis cardinalis,3,US-IL,L554963,41.671866,-87.9068202,Stationary,TRUE,2010-06-17,2010,168,6.633333333333333,5,0,1,TRUE
S6553093,obsr106714,S6553093,Cardinalis cardinalis,1,US-IL,L4300325,41.789608,-87.599646,Traveling,TRUE,2010-06-18,2010,169,10.25,15,0.789,1,TRUE
S11753244,obsr326314,S11753244,Cardinalis cardinalis,1,US-IL,L1772773,42.2196587,-87.8168053,Stationary,TRUE,2010-06-25,2010,176,8,10,0,1,TRUE
S6645132,obsr47764,S6645132,Cardinalis cardinalis,1,US-IL,L853163,41.481797,-90.477864,Stationary,TRUE,2010-06-22,2010,173,9.583333333333334,5,0,1,TRUE
S6639286,obsr47764,S6639286,Cardinalis cardinalis,2,US-IL,L795702,41.4970001,-90.4965585,Stationary,TRUE,2010-06-16,2010,167,7.666666666666667,5,0,1,TRUE
S11752764,obsr326314,S11752764,Cardinalis cardinalis,1,US-IL,L1772790,42.2454945,-88.1029377,Stationary,TRUE,2010-06-08,2010,159,8,10,0,1,TRUE
S28973380,obsr355694,S28973380,Cardinalis cardinalis,,US-IL,L298551,39.46639,-88.146883,Traveling,TRUE,2010-06-23,2010,174,17,90,1.207,1,FALSE
S6599865,obsr222607,S6599865,Cardinalis cardinalis,1,US-IL,L938330,41.82803,-88.04438,Stationary,TRUE,2010-06-20,2010,171,19.816666666666666,10,0,2,TRUE
S6547755,obsr34033,S6547755,Cardinalis cardinalis,1,US-IL,L932182,41.8286111,-87.8961111,Stationary,TRUE,2010-06-16,2010,167,8.883333333333333,5,0,1,TRUE
S11752442,obsr326314,S11752442,Cardinalis cardinalis,1,US-IL,L1772668,42.4011801,-87.8296781,Stationary,TRUE,2010-06-02,2010,153,8,10,0,1,TRUE
S6575470,obsr142929,S6575470,Cardinalis cardinalis,1,US-IL,L447274,41.6697703,-87.6080704,Traveling,TRUE,2010-06-25,2010,176,7.583333333333333,160,2.816,1,TRUE
S11753309,obsr326314,S11753309,Cardinalis cardinalis,2,US-IL,L1772858,42.3101833,-87.9425994,Stationary,TRUE,2010-06-24,2010,175,8,10,0,1,TRUE
S6642076,obsr47764,S6642076,Cardinalis cardinalis,1,US-IL,L853155,41.471769,-90.442492,Stationary,TRUE,2010-06-17,2010,168,6.916666666666667,5,0,1,TRUE
S6575676,obsr193344,S6575676,Cardinalis cardinalis,1,US-IL,L926658,41.9622345,-88.0748177,Traveling,TRUE,2010-06-24,2010,175,9.75,10,0.322,1,TRUE
S6588077,obsr193344,S6588077,Cardinalis cardinalis,2,US-IL,L926658,41.9622345,-88.0748177,Traveling,TRUE,2010-06-29,2010,180,7.75,10,0.322,1,TRUE
S11753218,obsr326314,S11753218,Cardinalis cardinalis,1,US-IL,L1772722,42.486083,-87.8089664,Stationary,TRUE,2010-06-02,2010,153,8,10,0,1,TRUE
S6575116,obsr103949,S6575116,Cardinalis cardinalis,1,US-IL,L552724,42.0597222,-88.1994444,Stationary,TRUE,2010-06-20,2010,171,7.066666666666666,5,0,2,TRUE
S6714541,obsr184235,S6714541,Cardinalis cardinalis,,US-IL,L3176152,42.3988557,-88.1265146,Traveling,TRUE,2010-06-28,2010,179,7.166666666666667,150,4.023,1,FALSE
S6584041,obsr31397,S6584041,Cardinalis cardinalis,3,US-IL,L166963,40.178543,-90.083954,Traveling,TRUE,2010-06-11,2010,162,8.75,60,0.805,2,TRUE
S11752943,obsr326314,S11752943,Cardinalis cardinalis,1,US-IL,L1772841,42.2796694,-88.0999539,Stationary,TRUE,2010-06-09,2010,160,8,10,0,1,TRUE
S6574746,obsr44684,S6574746,Cardinalis cardinalis,7,US-IL,L179636,41.8326,-87.9449,Traveling,TRUE,2010-06-25,2010,176,11.75,50,2.092,1,TRUE
S63547199,obsr424136,S63547199,Cardinalis cardinalis,1,US-IL,L10515062,41.3735363,-88.1423238,Stationary,TRUE,2010-06-07,2010,158,7.633333333333333,5,0,3,TRUE
S9070435,obsr16073,S9070435,Cardinalis cardinalis,1,US-IL,L1282030,42.0426667,-87.7905,Stationary,TRUE,2010-06-07,2010,158,7.5,5,0,1,TRUE
S6580750,obsr158532,S6580750,Cardinalis cardinalis,1,US-IL,L940689,42.1007698,-87.8858614,Traveling,TRUE,2010-06-27,2010,178,7.25,60,1.609,1,TRUE
S6534459,obsr57433,S6534459,Cardinalis cardinalis,1,US-IL,L929062,41.5208166,-88.5805777,Stationary,TRUE,2010-06-07,2010,158,5.083333333333333,5,0,1,TRUE
S6587454,obsr15930,S6587454,Cardinalis cardinalis,1,US-IL,L168926,41.93223,-88.31503,Stationary,TRUE,2010-06-20,2010,171,7.016666666666667,5,0,1,TRUE
S6579246,obsr217894,S6579246,Cardinalis cardinalis,1,US-IL,L900296,42.0764387,-87.8868914,Stationary,TRUE,2010-06-26,2010,177,7.583333333333333,5,0,1,TRUE
S11817563,obsr97529,S11817563,Cardinalis cardinalis,1,US-IL,L857557,41.7886642,-88.1774069,Stationary,TRUE,2010-06-25,2010,176,7,5,0,1,TRUE
