"","species_observed","year","day_of_year","time_observations_started","duration_minutes","effort_distance_km","number_observers","pland_00_water","pland_01_evergreen_needleleaf","pland_03_deciduous_needleleaf","pland_04_deciduous_broadleaf","pland_05_mixed_forest","pland_08_woody_savanna","pland_09_savanna","pland_10_grassland","pland_11_wetland","pland_12_cropland","pland_13_urban","pland_14_mosiac","pland_15_barren","elevation_median","elevation_sd"
"1","FALSE",2010,152,20.5,30,0,1,0,0,0,0,0,0,0,0,0,0.233333333333333,0.566666666666667,0.2,0,276.661533125953,5.81837080104594
"2","FALSE",2010,153,8,10,0,2,0,0,0,0,0,0,0.0666666666666667,0,0,0.5,0.366666666666667,0.0666666666666667,0,287.0418731921,9.50679596740891
"3","FALSE",2010,153,9.75,15,0,1,0,0,0,0,0,0,0,0,0,0.466666666666667,0.533333333333333,0,0,384.54068035103,9.13315954967839
"4","FALSE",2010,152,7,10,0,2,0,0,0,0,0,0,0,0.03125,0,0.96875,0,0,0,390.981902483944,1.13817205550459
"5","FALSE",2010,154,6.25,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,373.913108967912,11.6462393704264
"6","FALSE",2010,152,12.25,15,4.828,1,0,0,0,0,0,0,0,0.516129032258065,0,0.0645161290322581,0.419354838709677,0,0,301.404386405397,10.9198640685442
"7","FALSE",2010,154,10,120,2.414,1,0,0,0,0,0,0,0,0,0,1,0,0,0,353.17449209855,5.77135745366309
"9","FALSE",2010,152,15,190,0,1,0.032258064516129,0,0,0,0,0,0.161290322580645,0,0.225806451612903,0.0645161290322581,0.516129032258065,0,0,185.208257761965,5.74493518069504
"10","FALSE",2010,154,14,60,0,3,0.419354838709677,0,0,0,0,0,0,0,0,0,0.548387096774194,0,0.032258064516129,181.346648484727,8.67753574004902
"11","FALSE",2010,152,9.91666666666667,90,3.219,1,0,0,0,0,0,0,0,0,0,0.966666666666667,0.0333333333333333,0,0,300.448890253993,15.1279207285596
"12","FALSE",2010,153,14,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,197.747057970443,7.91817549987512
"13","FALSE",2010,152,6.93333333333333,5,0,1,0,0,0,0,0,0,0.4,0.466666666666667,0.0333333333333333,0.0666666666666667,0.0333333333333333,0,0,237.918196554936,3.30742786285156
"15","FALSE",2010,154,19.0833333333333,25,1.609,2,0,0,0,0,0,0,0.366666666666667,0.166666666666667,0.0333333333333333,0.433333333333333,0,0,0,232.585919558638,3.81918544983254
"16","FALSE",2010,153,8,10,0,1,0,0,0,0,0,0,0.21875,0.03125,0,0,0.75,0,0,216.465598858736,3.39853210332075
"17","FALSE",2010,154,8,10,0,1,0,0,0,0,0,0,0.28125,0.03125,0,0,0.6875,0,0,211.924137122951,5.5710251473418
"18","FALSE",2010,153,17.0333333333333,3,1.609,1,0,0,0,0.125,0,0.03125,0.28125,0.0625,0,0,0.5,0,0,208.947230608015,4.10387570827111
